Item,Grupo,Descrição,Descrição Detalhada,Quantidade,Unidade de Fornecimento,Valor Estimado,Situação,Empresa,Melhor Lance,Valor Negociado
192,-,Tampa condulete,"Material: Termoplástico, Cor: Cinza, Tamanho: 4 X 2 POL, Características Adicionais: 2 Tomada 2p+T,",110,Unidade,"7,0000",Cancelado no julgamento,,,
193,-,Terminal cabo,"Terminal Cabo Fixação: Compressão , Características Adicionais: Bitola Para Cabo De 10mm",173,Unidade,"1,0500",Cancelado no julgamento,,,
194,-,Terminal cabo,"Terminal Cabo Material: Cobre , Aplicação: Cabo Flexível , Fixação: Compressão , Seção Nominal Condutor: 95 MM",122,Unidade,"10,4000",Cancelado no julgamento,,,
198,-,Conector adaptação terminal,"Conector Adaptação Terminal Uso: Cabo 4,0 Mm2 E 6,0 Mm2 , Tipo Terminal: Garfo",975,Unidade,"0,6500",Homologado,,,
199,-,Terminal cabo,"Terminal Cabo Material: Cobre Estanhado , Fixação: Compressão , Seção Nominal Condutor: 16 MM",661,Unidade,"1,9000",Homologado,,,
200,-,Terminal cabo,"Terminal Cabo Lingueta: Olhal , Seção Nominal Condutor: 10 MM",774,Unidade,"1,8500",Homologado,,,
204,-,Terminal cabo,"Terminal Cabo Material: Cobre , Aplicação: Ar Condicionado Split , Tipo: Olhal , Seção Nominal Condutor: 150 MM",611,Unidade,"26,5300",Cancelado no julgamento,,,
205,-,Terminal elétrico,"Terminal Elétrico Material: Liga De Cobre , Aplicação: Cabo Elétrico , Fixação: Por Compressão , Seção Nominal Condutor: 25 MM",631,Unidade,"5,4900",Homologado,,,
206,-,Terminal elétrico,"Terminal Elétrico Material: Liga De Cobre , Aplicação: Cabo Elétrico , Fixação: Por Compressão , Seção Nominal Condutor: 70 MM",600,Unidade,"10,3100",Homologado,,,
207,-,Terminal elétrico,"Terminal Elétrico Material: Liga De Cobre , Fixação: Por Compressão , Seção Nominal Condutor: 150 MM",600,Unidade,"24,6000",Homologado,,,
209,-,Placa cega,"Placa Cega Referência: Linha Pial Plus , Material: Termoplástico , Aplicação: Caixa 4 X 2 Pol , Cor: Branca",540,Unidade,"4,8700",Homologado,,,
213,-,Estabilizador tensão,"Estabilizador Tensão Bateria: Selada , Tipo Alarme: Led Indicador Bateria Baixa E Sobrecarga , Tensão Alimentação Entrada: 110/220 V, Variação Entrada: +/- 15% , Autonomia Bateria: 20 Min , Quantidade Tomadas Saída: 4 Com 3 Pinos , Características Adicionais: Certificado Inmetro; Garantia 12 Meses , Capacidade Nominal: 600 V",58,Unidade,"420,0000",Homologado,,,
214,-,Estabilizador tensão,"Estabilizador Tensão Capacidade: 1 KVA, Tensão Alimentação Entrada: 110/220 V, Tensão Alimentação Saída: 115 V, Características Adicionais: 4 Tomadas",123,Unidade,"420,8500",Homologado,,,
215,-,Estabilizador tensão,"Estabilizador Tensão Tipo Onda: Senoidal , Tipo: Nobreak , Normas Técnicas: Nbr14136 , Capacidade Nominal: 2 KV",26,Unidade,"2.044,3000",Homologado,,,
216,-,Estabilizador tensão,"Estabilizador Tensão Tipo Onda: Senoidal , Tipo: Nobreak , Capacidade Nominal: 300 A 700 V",21,Unidade,"370,0000",Homologado,,,
217,-,Estabilizador tensão,"Estabilizador Tensão Tensão Alimentação Entrada: Bivolt V, Quantidade Tomadas Saída: 8 , Tipo: Nobreak , Capacidade Nominal: 1.500 V",33,Unidade,"765,0000",Homologado,,,
218,-,Estabilizador tensão,"Estabilizador Tensão Bateria: Selada , Tensão Alimentação Entrada: 220 V, Autonomia Bateria: 20 Min , Quantidade Tomadas Saída: 6 , Tipo Onda: Senoidal Pura E Com Controle Digital , Tipo: On Line Dupla Conversão , Freqüência: 60 HZ, Tensão Saída: 110 V, Capacidade Nominal: 3 KV",18,Unidade,"2.250,0000",Homologado,,,
219,-,Estabilizador tensão,"Estabilizador Tensão Bateria: Selada , Tensão Alimentação Entrada: Bivolt V, Quantidade Tomadas Saída: 4 , Tipo: Nobreak Senoidal , Características Adicionais: Proteção Contra Sobretensão E Sobrecarga/Filtro De , Tensão Saída: 115 V, Capacidade Nominal: 1.200 KV",24,Unidade,"558,0000",Homologado,,,
221,-,Fonte auxiliar partida,"Fonte Auxiliar Partida Componentes: Carregador Inteligente/Cabo Macho-Macho , Finalidade: Veículo Automotor , Altura: 290 MM, Corrente De Partida: 460 A, Comprimento: 290 MM, Largura: 200 MM, Tensão Saída: 12 VDC, Corrente Saída: 40 AH, Peso: 10 K",3,Unidade,"2.421,4200",Homologado,,,
222,-,Carregador bateria,"Carregador Bateria Tipo Bateria: Recarregáveis Ni-Mh/Ni-Cd , Aplicação: Material De Informática , Capacidade: 2 Ou 4 Pilhas Aa/Aaa. , Características Adicionais: Fonte De Alimentação Ac/D, Proteção Contra Inversã",50,Unidade,"799,9000",Homologado,,,
223,-,Carregador bateria,"Carregador Bateria Tipo Bateria: Recarregáveis Aa, Aaa E 12 Volts , Aplicação: Bateria De 12 Volts Veicular , Capacidade: 2 Baterias , Velocidade Carga: Lenta E Rápida , Dimensões: 80 X 27 X 35 CM, Tipo: Portátil , Características Adicionais: Contém Auxiliador Partida E Teste De 12 Até 100a/H , Tensão Alimentação: 110 / 220",6,Unidade,"39,0000",Cancelado no julgamento,,,
224,-,Bateria automotiva,"Bateria Automotiva Aplicação: No-Break , Tipo: Selada , Tensão Nominal: 12 V, Sistema Eletroquímico: Chumbo-Ácido , Capacidade Nominal: 9 A",36,Unidade,"1.050,0000",Cancelado no julgamento,,,
225,-,Bateria não recarregável,"Bateria Não Recarregável Aplicação: Multímetro E Testador De Cabo , Tipo: Alcalina , Voltagem: 9",177,Unidade,"175,0000",Cancelado no julgamento,,,
230,-,Extensão elétrica,"Extensão Elétrica Componentes: 3 Tomadas, 2p+T. , Número Pólos: 2 , Seção Nominal: 2,50 MM2, Formação Do Cabo: Dupla Isolação, 20a, Bivolt V F . MM2, Comprimento: 20 M, Cor: Preto , Tipo: Pp Carretel , Potência Máxima: 110v-1.650w / 220v-3.300w",251,Unidade,"136,3000",Homologado,,,
231,-,Resistência elétrica,"Resistência Elétrica Uso: Chuveiro Elétrico , Compatibilidade: Modelo 020 , Potência: 4.400 W, Tensão: 220 VOL",58,Unidade,"24,3000",Homologado,,,
232,-,Resistência elétrica,"Resistência Elétrica Potência Nominal: 4000 W, Aplicação: Chuveiro Elétrico, Super Ducha Fame , Tensão Nominal: 220",88,Unidade,"35,0000",Homologado,,,
233,-,Resistência elétrica,"Resistência Elétrica Potência Nominal: 5500 W, Aplicação: Chuveiro Elétrico, Marca Lorenzetti , Características Adicionais: 3 Temperaturas , Tensão Nominal: 220",182,Unidade,"33,3500",Homologado,,,
234,-,Resistência elétrica,"Resistência Elétrica Potência Nominal: 4500 W, Uso: Chuveiro Elétrico , Aplicação: Maxi Ducha Lorenzeti , Características Adicionais: 3 Temperaturas , Tensão Nominal: 220",153,Unidade,"13,1500",Cancelado no julgamento,,,
235,-,Resistência Elétrica,"Resistência Elétrica Potência Nominal: 5700 W, Aplicação: Ducha Marca Hydra , Referência Fabricante: Gorducha 4t , Tensão Nominal: 220",47,Unidade,"21,7500",Cancelado no julgamento,,,
236,-,Cabo elétrico flexível,"Cabo Elétrico Flexível Tensão Isolamento: > Ou = 750 V, Material Do Condutor: Cobre , Formação Do Cabo: 3 X 2,5 MM2, Tipo: Pp Trifásico",1.700,Metro,"6,0000",Homologado,,,
239,-,Cabo elétrico flexível,"Cabo Elétrico Flexível Material Cobertura: Pvc , Tensão Isolamento: 750 V, Têmpera Condutor: Mole , Material Do Condutor: Cobre , Formação Do Cabo: 4 X 4 MM2, Tipo: Pp , Características Adicionais: Certificação Inmetro , Material Isolamento: Pvc Anti-Chama",1.075,Metro,"10,2000",Homologado,,,
240,-,Cabo elétrico flexível,"Cabo Elétrico Flexível Material Cobertura: Pvc , Temperatura Operação: 70 °C, Tensão Isolamento: 750 V, Têmpera Condutor: Mole , Material Do Condutor: Cobre Eletrolítico , Formação Do Cabo: 4 X 2,5 MM2, Cor Da Isolação: Azul, Preta, Branca E Vermelha , Tipo: Pp , Normas Técnicas: Nbr13249 , Material Isolamento: Pvc Anti-Chama",1.150,Metro,"10,9000",Homologado,,,
241,-,Cabo elétrico flexível,"Cabo Elétrico Flexível Material Cobertura: Composto Termoplástico Antichama , Formação Condutor: 2 X 4 MM, Tensão Isolamento: 750 V, Material Do Condutor: Cobre , Tipo: Pp Multipolar",1.130,Metro,"10,0000",Homologado,,,
242,-,Cabo elétrico flexível,"Cabo Elétrico Flexível Tensão Isolamento: 750 V, Material Do Condutor: Cobre Eletrolítico , Formação Do Cabo: 3 X 6 MM2, Tipo: Pp Multipolar",1.080,Metro,"14,8600",Homologado,,,
243,-,Cabo elétrico flexível,"Cabo Elétrico Flexível Tensão Isolamento: 750 V, Material Do Condutor: Cobre , Formação Do Cabo: 3 X 4 MM2, Tipo: Pp Trifásico",1.150,Metro,"8,4000",Homologado,,,
244,-,Cabo elétrico flexível,"Cabo Elétrico Flexível Formação Condutor: 5 X 2,5 MM, Material Do Condutor: Cobre , Tipo: Pp",1.050,Metro,"12,5300",Homologado,,,
